Sentence,Aspect,Polarity
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,deniz ürünlerini,0
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,fiyatlarla,0
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,Döner,2
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,restoranda,0
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",ortam,2
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",Yeri,0
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",dösenmis,2
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",yemekleri,2
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",yemekleri,2
Sira bekleme olayi ise çok kötü...,Sira,0
Aci sevmeyenlere uygun bir mekan degil.,mekan,1
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",Manzara,2
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",ortam,2
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",karisik köfte tabagi,0
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",fajita,0
Sadece meze yiyin.,yiyin,0
Sadece meze yiyin.,meze,2
"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",soslarla,2
Balığın fast food gibi yenildiği yer.,Balığın,1
Yavaş yavaş balık keyfi yapmak isterseniz önermem.,balık,0
Servisi çok hızlı.,hızlı,2
Mısır ekmeği de sıcacık bayılıyorum.,Mısır ekmeği,2
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",hesap,0
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",çeşit,2
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",müzikler,2
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",ortam,2
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",Mizuno Pudding,0
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",Mizuno Pudding'i,0
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",paraya,0
Servisten de oldukça memnun kaldık.,Servisten,2
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,mekan,2
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,kalabalıktan,0
Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.,ev hanımları,0
Garsonlar iyi.,Garsonlar,2
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",garsonlarinin,0
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",getirmeleride,0
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.,Eleos,0
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,fiyatlar,0
Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.,fix menü,0
Mezeler de vasatın üzerinde.,Mezeler,1
Balkon/teras bölümü de cidden çok küçük.,Balkon/teras bölümü,0
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,servisi,0
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,mekan,0
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,Mekanin isletmecisi beyin,0
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,tavri tarzi konusmasi uslubu,0
Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.,Mekanin,0
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,manzara,1
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,yemekleride,0
Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,isletmeciyle,0
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.",Yemekler,2
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.",ogle yemeginde,0
"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",bugday salatasi,2
"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",havuc salatasi,2
Istanbulda baklavanın adresi.,baklavanın,2
Sadece baklava değil karışık tabak yaptırın.,karışık tabak,2
Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim,Çikolatalı baklavayıda,2
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",muzikler,2
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",manzarasiyla,2
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",meze ve yemekleriyle,2
Burayi seviyorum gerçekten.,Burayi,2
Hersey lezzetli statüsüne çok yakin.,Hersey,2
Keyifli vakit geçirirsiniz emin olun.,vakit geçirirsiniz,2
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",votka,0
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",şarap,0
"Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",müzik,0
Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı .,mezeleriyle,2
mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .,mezeleri,2
bunun haricinde çalışanların ilgiside gayet iyi,çalışanların ilgiside,2
Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.,tabak,0
Hamburgerleri vasat.,Hamburgerleri,1
Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla.,kahvaltı,0
Porsiyonları çok küçük fiyatlar çok Pahalı.,Porsiyonları,0
Porsiyonları çok küçük fiyatlar çok Pahalı.,fiyatlar,0
Garsonlar ilgisiz çayları kötü.,Garsonlar,0
Garsonlar ilgisiz çayları kötü.,çayları,0
Arada bir belki tatlı yemeye gidilebilir.,tatlı,2
O da manzarası için.,manzarası,2
Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.,çayları,2
Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.,Bourbon vanilla,2
Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.,Irish Malt,2
"Servis kaliteli, çalışanları ise inanılmaz ilgili.",Servis,2
"Servis kaliteli, çalışanları ise inanılmaz ilgili.",çalışanları,2
Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da.,çayların,2
Mekandaki müzik seçimleri de harika.,müzik seçimleri,2
Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.,serviste,0
Mekan güzel ferah.,Mekan,2
Servis çok hızlı.,Servis,2
Çok fazla çeşit var.,çeşit,2
Bazı çeşitler kebapla çok alakasız olabiliyor.,çeşitler,0
Fiyatları makul.,Fiyatları,2
Yemekler lezzetli,Yemekler,2
"Manzara güzel,yemekler güzel ama servis berbat.",Manzara,2
"Manzara güzel,yemekler güzel ama servis berbat.",yemekler,2
"Manzara güzel,yemekler güzel ama servis berbat.",servis,0
Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu.,demlik çay,0
"Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.",Mekani,2
"Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.",çesitler,2
servisi gayet iyi.,servisi,2
"Tesis, Fethi Pasa korulugunun içinde yer aliyor.",Tesis,1
Etler kalitesi ortalama.,Etler,1
Lezzet ortalama.,Lezzet,1
Mekan güzel.,Mekan,2
Bu et bu parayı asla hak etmiyor.,et,0
Bu et bu parayı asla hak etmiyor.,et,0
Kuru fasulye için gidilir.,Kuru fasulye,2
"Pilav, ayran eşliğinde iyi bir menü.",menü,2
"Ama servis konusunda personelinden memnun değilim, bu konuda kendilerini inş.",personelinden,0
Mart ayinin son gunu bugun berbatti burasi.,burasi,0
"Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.",Kahvaltiliklar,0
